自動体外式除細動器（ＡＥＤ）設置施設一覧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,令和元年９月１日現在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,柏崎,公共施設・機関,柏崎公民館,八戸市柏崎三丁目１３－５,43-9139,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,柏崎,教育機関,八戸盲・聾学校,八戸市柏崎六丁目２９－２４,43-3962,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,柏崎,教育機関,八戸学院短期大学附属幼稚園　聖アンナ,八戸市青葉三丁目２３－７,45-3670,1,事務室,8:00～18:00,土・日・祝、年末年始、その他行事等で休園あり。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,柏崎,教育機関,柏崎小学校,八戸市青葉二丁目７－１,43-2263,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,柏崎,教育機関,第三中学校,八戸市青葉三丁目１３－３６,44-1320,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,柏崎,教育機関,八戸東高等学校,八戸市類家一丁目４－４７,43-0262,1,事務室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,柏崎,教育機関,千葉学園高等学校,八戸市類家一丁目１－１１,43-4321,1,,8:00～17:00,土・日・祝、年末年始、お盆、創立記念日（11/15）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,吹上,民間企業など,ユニバース　南類家店,八戸市南類家二丁目９－５,41-2480,1,サービスカウンター,9:00～24:00,元日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,吹上,民間企業など,八戸燃料㈱　南類家ＳＳ,八戸市南類家二丁目２－１１,47-4211,1,セールスルーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,吹上,民間企業など,有限会社　恵不動産,八戸市南類家三丁目１－２１,71-4340,1,店舗内,平日：10:00～18:30、土日祝：10:00～17:00,火曜日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,吹上,民間企業など,よこまちストア　吹上店,八戸市吹上五丁目７－８８,0178-47-1234,1,１階水の自動販売機付近,9:00～21:00,元日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,吹上,民間企業など,青い森信用金庫　南類家支店,八戸市南類家二丁目２－２,44-7007,1,,9:00～17:00,土･日･祝、年末年始(12/31～1/3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,吹上,病院・福祉施設など,村井内科クリニック,八戸市吹上三丁目５－３,43-5500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,吹上,病院・福祉施設など,はちのへハートセンタークリニック,八戸市田向二丁目１－２,43-4180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,吹上,病院・福祉施設など,八戸市立市民病院,八戸市田向三丁目１－１,72-5111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,吹上,病院・福祉施設など,於本病院,八戸市大字大工町１０,43-4647,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,吹上,病院・福祉施設など,よしの整形外科,八戸市南類家二丁目１７－２５,73-8016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,吹上,病院・福祉施設など,南類家整形外科クリニック,八戸市南類家四丁目２－３０,71-3232,1,診察室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,吹上,病院・福祉施設など,八戸生協診療所,八戸市南類家一丁目１７－２,44-0278,1,処置室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,吹上,病院・福祉施設など,西村耳鼻咽喉科医院,八戸市南類家二丁目１７－２８,24-3381,1,診察室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,吹上,公共施設・機関,吹上公民館,八戸市吹上三丁目１７－３,43-2931,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,吹上,公共施設・機関,八戸地域広域市町村圏事務組合　消防本部,八戸市田向五丁目１－１,44-2131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,吹上,公共施設・機関,八戸市新井田川水防センター,八戸市田向五丁目３－６,24-9391,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,吹上,公共施設・機関,中居林コミュニティセンター,八戸市大字中居林字綿ノ端１３－１３,96-6411,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,吹上,教育機関,学校法人千葉学園　千葉幼稚園,八戸市田向二丁目２－５,45-2312,1,,8:00～17:00,土・日・祝、年末年始、お盆、創立記念日（9/10）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,吹上,教育機関,吹上小学校,八戸市吹上一丁目１４－３６,44-0528,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,吹上,教育機関,中居林小学校,八戸市大字石手洗字一本木２９,96-1030,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,吹上,教育機関,第一中学校,八戸市吹上二丁目１７－１,44-2215,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,吹上,教育機関,向陵高等学校,八戸市田向二丁目２－６,44-3866,1,,8:00～17:00,土・日・祝、年末年始、お盆、創立記念日（11/24）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,長者,民間企業など,八戸リッチホテルミッドタウン,八戸市大字廿六日町８,46-2580,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,長者,病院・福祉施設など,室岡整形外科病院,八戸市長者三丁目３－２３,46-1000,1,3階ナースステーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,長者,病院・福祉施設など,塚原整形外科医院,八戸市大字鳥屋部町１－１３,46-2711,1,1階待合室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,長者,病院・福祉施設など,社会福祉法人恵邑会　たいなか保育園,八戸市大字糠塚字平中２２－１６,22-2216,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,長者,病院・福祉施設など,倉本クリニック婦人科・産科,八戸市大字廿六日町３　八青パーキングビル１Ｆ,73-2399,1,診察室,9:00～18:00,"日・祝,GW,お盆休み,年末年始(12/28～1/3),休診日(毎週水・土午後)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,長者,病院・福祉施設など,かねた内科耳鼻科医院,八戸市大字本鍛冶町１,43-7770,1,内科診察室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,長者,病院・福祉施設など,ちょうじゃの森内科クリニック,八戸市大字糠塚字下道７－３２,43-6516,1,,8:30～18:00,日、土・祝の午後、GW・お盆の１日、年末年始（12/31～1/3）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,長者,病院・福祉施設など,住宅型有料老人ホーム　ちょうじゃ様の森,八戸市大字糠塚字大杉平６－１,41-2040,1,,24時間,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,長者,病院・福祉施設など,社会福祉法人東幸会　小規模多機能ホームサンシャイン,八戸市常番町１８,73-5350,1,事務室,24時間,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,長者,公共施設・機関,八戸市立図書館,八戸市大字糠塚字下道２－１,22-0266,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,長者,公共施設・機関,八戸市武道館,八戸市大字糠塚字下屋敷９－１,22-6689,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,長者,公共施設・機関,八戸市弓道場,八戸市大字糠塚字下屋敷９－１,44-3033,1,,6:30頃～20時頃,無休,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,長者,公共施設・機関,長者公民館,八戸市大字糠塚字下道２－１,45-4801,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,長者,公共施設・機関,更上閣,八戸市大字本徒士町５－４,22-2260,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,長者,公共施設・機関,長者まつりんぐ広場,八戸市大字糠塚字古常泉下、山伏小路及び鍛冶町地内,43-9141(公園緑地課),1,多目的施設2階管理人室,8:15～21:30,月曜日（休日の場合その翌日）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,長者,教育機関,八戸高等学校,八戸市長者四丁目４－１,44-0916,3,保健室・他2ヵ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,長者,教育機関,図南小学校,八戸市大字糠塚字大開４－１,45-6985,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,長者,教育機関,長者中学校,八戸市大字沢里字休場２８－１,43-4872,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,長者,教育機関,長者小学校,八戸市長者三丁目２－１,22-0564,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,小中野,民間企業など,ユニバース　小中野店,八戸市小中野三丁目２４－１３,22-5550,1,サービスカウンター側,9:00～24:00,元日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,小中野,民間企業など,フリースクエア　ノヅキ,八戸市小中野二丁目２－１１,24-2291,1,クローク,9:00～21:00,無休,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,小中野,民間企業など,陸奥工業株式会社,八戸市小中野八丁目１－３２,45-5471,1,正面玄関内,8:00～17:00,土・日・祝・ＧＷ・お盆・年末年始,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,小中野,民間企業など,青い森信用金庫　湊支店,八戸市小中野八丁目１２－２６,22-1151,1,,9:00～17:00,土･日･祝、年末年始(12/31～1/3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,小中野,病院・福祉施設など,伏谷内科医院,八戸市小中野六丁目２１－７,22-0571,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,小中野,病院・福祉施設など,春日井内科医院,八戸市小中野四丁目５－１６,43-0418,1,１階診察室,9:00～18:00,土曜午後、日・祝、ＧＷ、お盆休み、年末年始,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,小中野,公共施設・機関,老人いこいの家　諏訪荘,八戸市諏訪一丁目１５－４,45-5566,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,小中野,公共施設・機関,八戸市総合教育センター,八戸市諏訪一丁目２－４１,46-0521,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,小中野,公共施設・機関,小中野児童館,八戸市小中野六丁目１４－８,45-0022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,小中野,公共施設・機関,小中野公民館,八戸市小中野五丁目２－１７,22-2877,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,小中野,教育機関,八戸中央高等学校,八戸市諏訪一丁目２－１７,22-2751,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,小中野,教育機関,小中野中学校,八戸市小中野三丁目９－２６,43-2247,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,小中野,教育機関,小中野小学校,八戸市小中野五丁目２－１７,44-1513,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,江陽,民間企業など,八戸ショッピングセンター　ラピア,八戸市江陽二丁目１４－１,24-2611,1,1階防災センター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
